                                mean        sd    hdi_3%   hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
log_separation_artefact[1]    -3.763     1.961    -6.420    -0.491      0.684    0.302      10.0      24.0   2.20
area_l[0, 0]                 131.505    38.652    42.921   193.842      9.884    7.755      22.0      23.0   1.27
area_l[0, 1]                5282.368    37.613  5213.306  5348.966      7.893    2.896      23.0      70.0   1.25
area_l[0, 2]                 144.914    61.845    65.975   245.857     20.473    4.997      12.0     132.0   1.87
area_l[1, 0]                1813.552    47.159  1690.466  1868.554     15.016   15.865      20.0      23.0   1.30
area_l[1, 1]                3213.466    22.564  3171.059  3255.004      3.697    1.830      38.0      70.0   1.14
area_l[1, 2]                 153.526    81.299    59.839   286.281     27.511    7.344      11.0     163.0   1.88
area_l[2, 0]                2452.518    58.284  2300.645  2515.011     19.464   21.377      18.0      24.0   1.38
area_l[2, 1]                2079.031    17.891  2046.866  2114.070      2.438    1.809      56.0      59.0   1.09
area_l[2, 2]                 177.247   113.095    56.215   357.009     38.507    9.684      11.0     143.0   1.88
area_l[3, 0]                2696.453    50.959  2568.344  2764.368     16.068   16.430      19.0      24.0   1.34
area_l[3, 1]                1382.407    22.034  1341.514  1424.125      1.874    0.523     138.0     950.0   1.03
area_l[3, 2]                 166.374    79.355    72.401   300.145     26.435    7.179      12.0     124.0   1.86
area_l[4, 0]                2140.873   368.910  1540.370  2666.910    117.646   14.702      12.0     124.0   1.82
area_l[4, 1]                 306.801    71.238   169.233   430.092      5.495    1.531     152.0    1074.0   1.03
area_l[4, 2]                 183.517    90.608    70.162   340.935     29.454    8.052      12.0     134.0   1.85
area_l[5, 0]                1750.916   250.884  1082.989  1889.438     87.517   98.801      16.0      25.0   1.43
area_l[5, 1]                  25.965    12.317     9.405    50.367      3.130    1.441      16.0     122.0   1.43
area_l[5, 2]                 287.113   216.394    80.669   756.081     74.336   52.917      11.0      24.0   2.08
area_l[6, 0]                1627.873   199.660  1089.110  1738.740     69.585   78.621      18.0      24.0   1.40
area_l[6, 1]                  25.319    11.103    10.154    47.340      3.015    1.131      14.0     133.0   1.53
area_l[6, 2]                 285.427   181.743    85.202   604.647     61.758   25.494      11.0      25.0   2.06
area_l[7, 0]                 136.266    35.624    42.670   176.345     11.451   11.897      21.0      23.0   1.30
area_l[7, 1]                2558.542    18.917  2525.072  2594.721      3.647    1.629      27.0      91.0   1.20
area_l[7, 2]                 123.336    49.172    62.167   203.986     16.448    4.278      11.0     115.0   1.87
area_l[8, 0]                1205.023    44.915  1086.355  1242.826     15.352   17.240      18.0      23.0   1.37
area_l[8, 1]                1043.435     9.860  1026.609  1061.401      1.410    1.298      49.0     116.0   1.10
area_l[8, 2]                 150.618    92.320    54.401   288.132     31.914    8.285      11.0     135.0   1.88
area_l[9, 0]                1319.543   126.289   982.432  1394.657     43.922   49.975      19.0      24.0   1.37
area_l[9, 1]                 449.497    11.672   431.260   473.137      1.931    1.404      38.0     153.0   1.14
area_l[9, 2]                 237.621   157.385    65.494   441.206     54.358    1.932      12.0     190.0   1.72
