                                    mean       sd    hdi_3%   hdi_97%  mcse_mean  mcse_sd   ess_bulk   ess_tail  r_hat
alpha[3, 2]                       -1.897    0.133    -2.139    -1.639      0.001    0.001  12717.487  10531.989  1.000
alpha[3, 3]                        1.207    0.112     0.992     1.411      0.001    0.001   9364.488  10784.286  1.001
alpha[4, 0]                       -0.965    0.136    -1.207    -0.703      0.001    0.001  16856.867  12421.144  1.000
alpha[4, 1]                        0.593    0.197     0.248     0.965      0.002    0.002  15537.642  11086.283  1.000
alpha[4, 2]                       -1.533    0.116    -1.754    -1.318      0.001    0.001  12194.642  10198.540  1.000
alpha[4, 3]                        1.081    0.108     0.886     1.290      0.001    0.001   9775.850  10837.746  1.000
mu[0, 0]                           2.706    0.004     2.699     2.713      0.000    0.000  16465.570  10789.434  1.000
mu[0, 1]                           2.741    0.004     2.733     2.749      0.000    0.000  16456.857  13029.749  1.001
mu[0, 2]                           3.298    0.001     3.296     3.300      0.000    0.000  16786.834  12749.823  1.001
mu[0, 3]                           3.330    0.001     3.327     3.333      0.000    0.000  10318.146  11252.738  1.000
mu[1, 0]                           2.704    0.004     2.697     2.711      0.000    0.000  15934.599   9602.091  1.000
mu[1, 1]                           2.739    0.004     2.731     2.747      0.000    0.000  15628.011  11653.834  1.000
mu[1, 2]                           3.299    0.001     3.298     3.301      0.000    0.000  16582.494  12353.929  1.000
mu[1, 3]                           3.331    0.001     3.328     3.334      0.000    0.000   9424.694  10487.609  1.000
mu[2, 0]                           2.707    0.003     2.701     2.712      0.000    0.000  18511.867  11906.091  1.001
mu[2, 1]                           2.741    0.004     2.734     2.749      0.000    0.000  15192.637  12186.117  1.000
mu[2, 2]                           3.301    0.001     3.299     3.302      0.000    0.000  16114.352  13054.128  1.000
mu[2, 3]                           3.332    0.001     3.329     3.335      0.000    0.000  10384.240  10860.501  1.001
mu[3, 0]                           2.709    0.003     2.703     2.714      0.000    0.000  16486.859  11731.337  1.001
mu[3, 1]                           2.743    0.004     2.736     2.751      0.000    0.000  12516.306  10673.108  1.001
